  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      2.0479E-02      1.6193E+00      1.4308E+00      2.5054E+00      1.0646E-02      5.3109E+01      1.1908E+02      1.0000E+00
      1.3010E-02      1.2068E+00      1.0916E+00      1.5628E+00      9.3848E-03      7.2642E+01      1.0378E+02      1.0000E+00
      2.6269E-02      1.7195E+00      1.6203E+00      2.3197E+00      1.3154E-02      5.1469E+01      1.3714E+02      1.0000E+00
      2.0973E-03      1.3555E+00      1.2767E+00      2.1701E+00      1.1627E-03      6.8108E+01      1.1657E+02      1.0000E+00
      5.6349E-03      1.1921E+00      1.0559E+00      1.3950E+00      5.2393E-03      8.4640E+01      9.2963E+01      1.0000E+00
      4.7774E-03      1.1099E+00      1.0201E+00      1.2185E+00      4.7073E-03      8.7115E+01      9.2256E+01      1.0000E+00
      4.6727E-03      1.3285E+00      1.1336E+00      1.4743E+00      3.8969E-03      7.1704E+01      1.1188E+02      1.0000E+00
      4.6096E-03      1.1116E+00      1.0211E+00      1.2223E+00      4.5388E-03      8.7688E+01      9.3010E+01      1.0000E+00
      2.1243E-03      1.3326E+00      1.3513E+00      2.1580E+00      1.1718E-03      7.1168E+01      1.1992E+02      1.0000E+00
      4.7035E-03      1.3239E+00      1.1194E+00      1.4975E+00      3.9537E-03      7.5278E+01      1.0779E+02      1.0000E+00
      4.6142E-03      1.1144E+00      1.0212E+00      1.2275E+00      4.5399E-03      8.7698E+01      9.1648E+01      1.0000E+00
      5.6587E-03      1.1967E+00      1.0605E+00      1.4036E+00      5.2412E-03      8.0895E+01      9.5671E+01      1.0000E+00
      4.7884E-03      1.1126E+00      1.0209E+00      1.2240E+00      4.7145E-03      8.8409E+01      9.2237E+01      1.0000E+00
      4.3913E-03      1.0642E+00      1.0070E+00      1.1234E+00      4.3691E-03      8.8848E+01      9.1168E+01      1.0000E+00
      4.3206E-03      1.0650E+00      1.0060E+00      1.1156E+00      4.1926E-03      8.7205E+01      9.2001E+01      1.0000E+00
