  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      9.7668E-04      1.0016E+00      1.0011E+00      1.0011E+00      9.7658E-04      8.7254E+01      9.2744E+01      1.0000E+00
      9.7684E-04      1.0005E+00      1.0004E+00      1.0002E+00      9.7678E-04      8.8307E+01      9.1692E+01      1.0000E+00
      9.9394E-04      1.0091E+00      1.0004E+00      1.0171E+00      9.9073E-04      8.8624E+01      9.1530E+01      1.0000E+00
      9.9871E-04      1.0072E+00      1.0003E+00      1.0168E+00      9.9551E-04      8.9105E+01      9.0934E+01      1.0000E+00
      9.8252E-04      1.0033E+00      1.0001E+00      1.0061E+00      9.8175E-04      8.9110E+01      9.0923E+01      1.0000E+00
      9.8372E-04      1.0029E+00      1.0000E+00      1.0062E+00      9.8294E-04      8.9610E+01      9.0405E+01      1.0000E+00
      9.9857E-04      1.0072E+00      1.0002E+00      1.0169E+00      9.9603E-04      8.9519E+01      9.0473E+01      1.0000E+00
      9.9612E-04      1.0083E+00      1.0002E+00      1.0173E+00      9.9403E-04      8.9738E+01      9.0181E+01      1.0000E+00
      9.8380E-04      1.0028E+00      1.0000E+00      1.0062E+00      9.8312E-04      8.9824E+01      9.0171E+01      1.0000E+00
      9.8320E-04      1.0030E+00      1.0000E+00      1.0062E+00      9.8260E-04      8.9911E+01      9.0064E+01      1.0000E+00
      9.7820E-04      1.0009E+00      1.0001E+00      1.0016E+00      9.7804E-04      8.9257E+01      9.0748E+01      1.0000E+00
      9.7844E-04      1.0008E+00      1.0000E+00      1.0017E+00      9.7829E-04      8.9755E+01      9.0249E+01      1.0000E+00
      9.7695E-04      1.0003E+00      1.0001E+00      1.0003E+00      9.7692E-04      8.9289E+01      9.0711E+01      1.0000E+00
      9.7700E-04      1.0002E+00      1.0000E+00      1.0004E+00      9.7698E-04      8.9787E+01      9.0214E+01      1.0000E+00
      9.7847E-04      1.0008E+00      1.0000E+00      1.0017E+00      9.7833E-04      8.9927E+01      9.0072E+01      1.0000E+00
      9.7836E-04      1.0009E+00      1.0000E+00      1.0017E+00      9.7824E-04      8.9974E+01      9.0021E+01      1.0000E+00
      9.7701E-04      1.0002E+00      1.0000E+00      1.0004E+00      9.7699E-04      8.9951E+01      9.0049E+01      1.0000E+00
      9.7700E-04      1.0002E+00      1.0000E+00      1.0004E+00      9.7698E-04      8.9990E+01      9.0009E+01      1.0000E+00
      1.6331E-03      1.6762E+00      1.5776E+00      2.2822E+00      8.5293E-04      5.2201E+01      1.3529E+02      1.0000E+00
      1.2751E-03      1.5095E+00      1.3700E+00      1.9940E+00      8.0839E-04      5.1464E+01      1.2268E+02      1.0000E+00
      7.9955E-04      1.0853E+00      1.0259E+00      1.2025E+00      6.8640E-04      8.4765E+01      1.0203E+02      1.0000E+00
      1.6298E-03      1.7183E+00      1.6216E+00      2.3211E+00      8.1729E-04      5.1424E+01      1.3711E+02      1.0000E+00
      7.9713E-04      1.0899E+00      1.0303E+00      1.2154E+00      6.7941E-04      8.4076E+01      1.0291E+02      1.0000E+00
      1.2538E-03      1.4610E+00      1.3295E+00      1.9438E+00      8.0254E-04      5.3242E+01      1.1998E+02      1.0000E+00
      1.0570E-03      1.0631E+00      1.0061E+00      1.1011E+00      1.0183E-03      8.5751E+01      9.3582E+01      1.0000E+00
      9.7151E-04      1.0425E+00      1.0034E+00      1.0621E+00      9.3277E-04      8.6830E+01      9.4262E+01      1.0000E+00
      1.0113E-03      1.0230E+00      1.0008E+00      1.0397E+00      1.0028E-03      8.9032E+01      9.0845E+01      1.0000E+00
      9.9322E-04      1.0172E+00      1.0005E+00      1.0304E+00      9.8542E-04      8.9398E+01      9.0816E+01      1.0000E+00
      9.6848E-04      1.0344E+00      1.0023E+00      1.0518E+00      9.3543E-04      8.7339E+01      9.3634E+01      1.0000E+00
      1.0420E-03      1.0477E+00      1.0036E+00      1.0785E+00      1.0084E-03      8.6468E+01      9.2666E+01      1.0000E+00
      9.9137E-04      1.0139E+00      1.0003E+00      1.0256E+00      9.8591E-04      8.9605E+01      9.0582E+01      1.0000E+00
      1.0033E-03      1.0163E+00      1.0004E+00      1.0297E+00      9.9792E-04      8.9405E+01      9.0462E+01      1.0000E+00
      1.6252E-03      1.7292E+00      1.6290E+00      2.3129E+00      8.1575E-04      5.0971E+01      1.3752E+02      1.0000E+00
      1.2526E-03      1.4616E+00      1.3313E+00      1.9485E+00      8.0111E-04      5.3272E+01      1.2004E+02      1.0000E+00
      7.9694E-04      1.0933E+00      1.0294E+00      1.2221E+00      6.8356E-04      8.4342E+01      1.0245E+02      1.0000E+00
      1.6338E-03      1.7304E+00      1.6376E+00      2.3183E+00      8.2216E-04      5.0678E+01      1.3760E+02      1.0000E+00
      7.9866E-04      1.0949E+00      1.0289E+00      1.2240E+00      6.8480E-04      8.4563E+01      1.0234E+02      1.0000E+00
      1.2677E-03      1.4613E+00      1.3369E+00      1.9571E+00      8.0816E-04      5.3184E+01      1.2006E+02      1.0000E+00
      1.0419E-03      1.0477E+00      1.0036E+00      1.0779E+00      1.0076E-03      8.6440E+01      9.2682E+01      1.0000E+00
      9.6876E-04      1.0330E+00      1.0022E+00      1.0542E+00      9.3503E-04      8.7216E+01      9.3710E+01      1.0000E+00
      1.0035E-03      1.0163E+00      1.0004E+00      1.0293E+00      9.9776E-04      8.9385E+01      9.0475E+01      1.0000E+00
      9.9220E-04      1.0129E+00      1.0003E+00      1.0228E+00      9.8639E-04      8.9534E+01      9.0628E+01      1.0000E+00
      9.7201E-04      1.0323E+00      1.0022E+00      1.0553E+00      9.3740E-04      8.7202E+01      9.3760E+01      1.0000E+00
      1.0536E-03      1.0437E+00      1.0030E+00      1.0677E+00      1.0203E-03      8.6673E+01      9.2646E+01      1.0000E+00
      9.9575E-04      1.0115E+00      1.0002E+00      1.0200E+00      9.8949E-04      8.9575E+01      9.0618E+01      1.0000E+00
      1.0169E-03      1.0103E+00      1.0001E+00      1.0159E+00      1.0121E-03      8.9596E+01      9.0395E+01      1.0000E+00
      9.9198E-04      1.0090E+00      1.0001E+00      1.0165E+00      9.8982E-04      8.9750E+01      9.0207E+01      1.0000E+00
      9.8784E-04      1.0075E+00      1.0001E+00      1.0140E+00      9.8626E-04      8.9871E+01      9.0165E+01      1.0000E+00
